SN LAT LON DEPTH G_OBS C_FAYE BOUGUER CORR_T G_NOR ANOMALY_D DENSITY CORR_ANOMALY ANOMALY_D_VAR			 
2282 41.495833 16.472222 -62.2 980374.80 -19.19 +8.93 ----- 980313.93 +50.61 2.0 -1.04 +49.57
2283 41.530556 16.417778 -52.0 980377.19 -16.05 +7.47 ----- 980317.05 +51.56 2.0 -0.88 +50.68
2284 41.504722 16.357500 -39.0 980367.35 -12.03 +5.60 ----- 980314.73 +46.19 2.0 -0.65 +45.54
2285 41.546667 16.336111 -36.1 980373.73 -11.14 +5.18 ----- 980318.50 +49.27 2.0 -0.60 +48.67
2286 41.526944 16.266944 -26.0 980368.28 -8.02 +3.73 ----- 980316.73 +47.26 2.0 -0.43 +46.83
2287 41.550000 16.212500 -20.0 980371.29 -6.17 +2.87 ----- 980318.80 +49.19 2.0 -0.33 +48.86
2288 41.568889 16.268611 -24.6 980374.98 -7.59 +3.53 ----- 980320.50 +50.42 2.0 -0.41 +50.01
2289 41.600556 16.368333 -42.0 980394.43 -12.96 +6.03 ----- 980323.35 +64.15 2.0 -0.70 +63.45
2373 41.577778 16.440278 -60.5 980396.12 -18.67 +8.69 ----- 980321.27 +64.87 2.0 -1.02 -63.85
2374 41.536667 16.546389 -81.2 980394.35 -25.06 +11.66 ----- 980317.59 +63.36 2.0 -1.36 -62.00
2375 41.495000 16.644444 -93.8 980391.19 -28.94 +13.47 ----- 980313.86 +61.86 2.0 -1.57 -60.11
2376 41.456111 16.741111 -103.0 980387.74 -31.78 +14.79 ----- 980310.38 +60.37 2.2 -0.86 -59.51
2377 41.244722 16.780556 -85.4 980381.10 -26.35 +12.26 ----- 980291.47 +75.54 2.4 0.00 -75.54
2378 41.305833 16.783056 -97.8 980380.44 -30.18 +14.04 ----- 980296.94 +67.36 2.4 0.00 -67.36
2379 41.331667 16.709444 -89.4 980377.28 -27.59 +12.84 ----- 980299.24 +63.29 2.4 0.00 -63.29
2380 41.370000 16.775000 -101.0 980388.76 -31.17 +14.50 ----- 980302.67 +69.42 2.4 0.00 -69.42
2393 41.705556 16.823611 -138.2 980438.15 -42.65 +19.84 ----- 980332.73 +82.61 2.0 -2.31 +80.30
2394 41.600000 16.763889 -108.7 980421.10 -33.54 +15.61 ----- 980323.27 +79.90 2.0 -1.82 +78.08
2395 41.429167 16.686111 -94.0 980384.21 -29.01 +13.50 ----- 980307.97 +60.73 2.2 -0.79 +59.94
2396 41.430556 16.611111 -84.0 980379.44 -25.92 +12.06 ----- 980308.09 +57.49 2.0 -1.41 +56.08
2397 41.595833 16.515278 -98.8 980414.59 -30.49 +14.19 ----- 980322.90 +75.39 2.0 -1.66 +73.73
2398 41.687500 16.702778 -107.0 980428.03 -33.02 +15.36 ----- 980331.11 +79.26 2.2 -0.89 +78.37
2399 41.788889 16.770833 -136.8 980441.55 -42.21 +19.64 ----- 980340.20 +78.78 2.2 -1.14 +77.64
2402 41.777778 16.648611 -100.4 980432.06 -30.98 +14.42 ----- 980339.20 +76.30 2.2 -0.85 +75.45
2403 41.654167 16.556944 -88.3 980419.47 -27.25 +12.68 ----- 980328.13 +76.77 2.2 -0.74 +76.03
2404 41.638889 16.441667 -63.8 980420.98 -19.69 +9.16 ----- 980326.75 +83.70 2.2 -0.53 +83.17
