or,xg,yg,fa,fa_err,xm,ym,hdtbm,te,ba
      41.841667,      16.125000,      41.791667,     149.843933,      13.842443,  593473.790845, 4627257.238286,     509.000000,      52.135385,      97.708548
      68.971649,      16.141667,      41.791667,     142.157990,      12.526298,  594858.608441, 4627275.495532,     386.000000,      39.466033,     102.691957
       0.807992,      16.158333,      41.791667,     135.200058,      11.243914,  596243.426941, 4627294.021351,     238.000000,      23.305875,     111.894183
      69.108261,      16.175000,      41.791667,     128.499557,       9.936852,  597628.246375, 4627312.815747,     185.000000,      15.886050,     112.613508
      16.525000,      16.191667,      41.791667,     121.569687,       8.684384,  599013.066748, 4627331.878723,     115.000000,       7.559416,     114.010271
      41.841667,      16.208333,      41.791667,     113.883942,       7.456372,  600397.888065, 4627351.210284,     -13.000000,      -1.506384,     115.390326
      69.133766,      16.225000,      41.791667,     105.838402,       6.581542,  601782.710355, 4627370.810433,     -14.299999,      -1.355235,     107.193637
       0.760981,      16.241667,      41.791667,      98.712440,       5.791656,  603167.533624, 4627390.679174,     -16.200001,      -1.377680,     100.090120
      69.479248,      16.258333,      41.791667,      93.211456,       4.905970,  604552.357876, 4627410.816511,     -18.500000,      -1.472647,      94.684104
      16.541667,      16.275000,      41.791667,      88.784981,       4.044191,  605937.183142, 4627431.222448,     -20.500000,      -1.574955,      90.359936
      41.841667,      16.291667,      41.791667,      84.782806,       3.349702,  607322.009427, 4627451.896990,     -23.200001,      -1.726843,      86.509650
      68.648270,      16.308333,      41.791667,      81.492043,       2.965984,  608706.836734, 4627472.840140,     -27.200001,      -1.990990,      83.483033
       0.661690,      16.325000,      41.791667,      79.220894,       2.596419,  610091.665095, 4627494.051902,     -32.700001,      -2.358248,      81.579142
      69.305664,      16.341667,      41.791667,      77.560577,       2.226944,  611476.494515, 4627515.532281,     -39.700001,      -2.824217,      80.384795
      16.558333,      16.358333,      41.791667,      75.638161,       1.943547,  612861.324997, 4627537.281281,     -45.099998,      -3.166734,      78.804895
      41.841667,      16.375000,      41.791667,      73.245842,       1.651046,  614246.156572, 4627559.298906,     -52.099998,      -3.630922,      76.876764
      67.971039,      16.391667,      41.791667,      71.014664,       1.500375,  615630.989246, 4627581.585161,     -58.450001,      -4.056720,      75.071383
       0.764154,      16.408333,      41.791667,      69.420807,       1.379106,  617015.823022, 4627604.140050,     -64.599998,      -4.482416,      73.903223
      68.728096,      16.425000,      41.791667,      68.600105,       1.231027,  618400.657931, 4627626.963578,     -70.800003,      -4.903475,      73.503580
